iso3,country_name_official,region,sub_region,is_aggregate
AFG,Afghanistan,South Asia,South Asia,FALSE
ALA,Åland Islands,Europe & Central Asia,Northern Europe,FALSE
ALB,Albania,Europe & Central Asia,Southern Europe,FALSE
DZA,Algeria,Middle East & North Africa,Northern Africa,FALSE
ASM,American Samoa,East Asia & Pacific,Polynesia,FALSE
AND,Andorra,Europe & Central Asia,Southern Europe,FALSE
AGO,Angola,Sub-Saharan Africa,Middle Africa,FALSE
AIA,Anguilla,Latin America & Caribbean,Caribbean,FALSE
ATA,Antarctica,South Pole,South Pole,FALSE
ATG,Antigua and Barbuda,Latin America & Caribbean,Caribbean,FALSE
ARG,Argentina,Latin America & Caribbean,South America,FALSE
ARM,Armenia,Europe & Central Asia,Western Asia,FALSE
ABW,Aruba,Latin America & Caribbean,Caribbean,FALSE
AUS,Australia,East Asia & Pacific,Australia and New Zealand,FALSE
AUT,Austria,Europe & Central Asia,Western Europe,FALSE
AZE,Azerbaijan,Europe & Central Asia,Western Asia,FALSE
BHS,Bahamas,Latin America & Caribbean,Caribbean,FALSE
BHR,Bahrain,Middle East & North Africa,Western Asia,FALSE
BGD,Bangladesh,South Asia,South Asia,FALSE
BRB,Barbados,Latin America & Caribbean,Caribbean,FALSE
BLR,Belarus,Europe & Central Asia,Eastern Europe,FALSE
BEL,Belgium,Europe & Central Asia,Western Europe,FALSE
BLZ,Belize,Latin America & Caribbean,Central America,FALSE
BEN,Benin,Sub-Saharan Africa,Western Africa,FALSE
BMU,Bermuda,North America,Northern America,FALSE
BTN,Bhutan,South Asia,South Asia,FALSE
BOL,Bolivia,Latin America & Caribbean,South America,FALSE
BES,"""Bonaire, Sint Eustatius and Saba""",Latin America & Caribbean,Caribbean,FALSE
BIH,Bosnia and Herzegovina,Europe & Central Asia,Southern Europe,FALSE
BWA,Botswana,Sub-Saharan Africa,Southern Africa,FALSE
BVT,Bouvet Island,South Pole,South Pole,FALSE
BRA,Brazil,Latin America & Caribbean,South America,FALSE
IOT,British Indian Ocean Territory,Sub-Saharan Africa,Eastern Africa,FALSE
BRN,Brunei Darussalam,East Asia & Pacific,South-Eastern Asia,FALSE
BGR,Bulgaria,Europe & Central Asia,Eastern Europe,FALSE
BFA,Burkina Faso,Sub-Saharan Africa,Western Africa,FALSE
BDI,Burundi,Sub-Saharan Africa,Eastern Africa,FALSE
CPV,Cabo Verde,Sub-Saharan Africa,Western Africa,FALSE
KHM,Cambodia,East Asia & Pacific,South-Eastern Asia,FALSE
CMR,Cameroon,Sub-Saharan Africa,Middle Africa,FALSE
CAN,Canada,North America,Northern America,FALSE
